id_knjige,zanr
1,young-adult
1,fiction
1,dystopia
2,fantasy
2,young-adult
2,fiction
3,classics
3,fiction
3,historical-fiction
4,classics
4,fiction
4,romance
5,young-adult
5,fantasy
5,romance
6,historical-fiction
6,fiction
6,young-adult
7,classics
7,fiction
7,dystopia
8,fantasy
8,classics
8,fiction
9,fantasy
9,fiction
9,classics
10,young-adult
10,romance
10,fiction
11,classics
11,historical-fiction
11,fiction
12,science-fiction
12,fiction
12,humor
13,childrens
13,picture-books
13,classics
14,classics
14,fiction
14,romance
15,fiction
15,mystery
15,thriller
16,classics
16,fiction
16,horror
17,fiction
17,historical-fiction
17,romance
18,classics
18,fiction
18,romance
19,classics
19,fantasy
19,fiction
20,classics
20,fiction
20,historical-fiction
21,classics
21,fiction
21,science-fiction
22,young-adult
22,dystopia
22,fiction
23,classics
23,fiction
23,young-adult
24,fiction
24,classics
24,fantasy
25,classics
25,plays
25,fiction
26,young-adult
26,fiction
26,contemporary
27,classics
27,fiction
27,school
28,classics
28,fiction
28,russia
29,fantasy
29,young-adult
29,paranormal
30,fantasy
30,fiction
30,young-adult
31,fiction
31,historical-fiction
31,historical
32,science-fiction
32,fiction
32,young-adult
33,classics
33,fiction
33,fantasy
34,classics
34,fiction
34,young-adult
35,classics
35,childrens
35,fiction
36,classics
36,fiction
36,school
37,fiction
37,romance
37,fantasy
38,classics
38,horror
38,fiction
39,classics
39,fiction
39,science-fiction
40,fiction
40,classics
40,magical-realism
41,fantasy
41,young-adult
41,mythology
42,classics
42,fiction
42,young-adult
43,fantasy
43,fiction
43,classics
44,classics
44,fiction
44,childrens
45,fiction
45,historical-fiction
45,contemporary
46,fantasy
46,fiction
46,epic-fantasy
47,fantasy
47,fiction
47,classics
48,classics
48,young-adult
48,fiction
49,classics
49,fiction
49,historical-fiction
50,fiction
50,mystery
50,young-adult
51,childrens
51,picture-books
51,fiction
52,childrens
52,picture-books
52,classics
53,classics
53,fiction
53,poetry
54,fiction
54,fantasy
54,classics
55,classics
55,fiction
55,historical-fiction
56,fiction
56,historical-fiction
56,romance
57,classics
57,fiction
57,literature
58,classics
58,fiction
58,science-fiction
59,fiction
59,historical-fiction
59,contemporary
60,classics
60,fiction
60,horror
61,fiction
61,classics
61,dystopia
62,young-adult
62,fiction
62,classics
63,science-fiction
63,fiction
63,fantasy
64,classics
64,fiction
64,historical-fiction
65,horror
65,fiction
65,fantasy
66,historical-fiction
66,fiction
66,historical
67,classics
67,mystery
67,fiction
68,classics
68,fiction
68,historical-fiction
69,fantasy
69,young-adult
69,fiction
70,classics
70,fiction
70,fantasy
71,classics
71,fiction
71,literature
72,classics
72,fiction
72,feminism
73,classics
73,fiction
73,russia
74,classics
74,fiction
74,psychology
75,classics
75,fiction
75,science-fiction
76,childrens
76,fiction
76,classics
77,historical-fiction
77,romance
77,fantasy
78,fiction
78,mystery
78,thriller
79,fiction
79,contemporary
79,chick-lit
80,classics
80,fiction
80,mystery
81,classics
81,fiction
81,historical-fiction
82,classics
82,fiction
82,historical-fiction
83,classics
83,fiction
83,science-fiction
84,classics
84,fiction
84,russia
85,fiction
85,science-fiction
85,dystopia
86,non-fiction
86,memoir
86,biography
87,young-adult
87,fantasy
87,vampires
88,classics
88,fiction
88,philosophy
89,fiction
89,historical-fiction
89,africa
90,fantasy
90,young-adult
90,fiction
91,fantasy
91,young-adult
91,fiction
92,classics
92,fiction
92,literature
93,fantasy
93,classics
93,fiction
94,fiction
94,classics
94,philosophy
95,classics
95,fiction
95,literature
96,romance
96,fiction
96,chick-lit
97,classics
97,childrens
97,fiction
98,classics
98,poetry
98,horror
99,horror
99,fantasy
99,fiction
100,fiction
100,classics
100,contemporary
901,fantasy
901,young-adult
901,romance
902,young-adult
902,paranormal
902,romance
903,young-adult
903,vampires
903,fantasy
904,fantasy
904,animals
904,fiction
905,classics
905,poetry
905,fiction
906,fantasy
906,fiction
906,horror
907,fiction
907,africa
907,south-africa
908,fantasy
908,fiction
908,epic-fantasy
909,fiction
909,classics
909,literature
910,young-adult
910,romance
910,fantasy
911,fantasy
911,fiction
911,horror
912,mystery
912,fiction
912,thriller
913,philosophy
913,classics
913,non-fiction
914,poetry
914,classics
914,fiction
915,philosophy
915,non-fiction
915,classics
916,fiction
916,classics
916,philosophy
917,religion
917,philosophy
917,classics
918,historical-fiction
918,fiction
918,historical
919,fiction
919,romance
919,animals
920,mystery
920,fiction
920,classics
921,fantasy
921,young-adult
921,adventure
922,fiction
922,thriller
922,mystery
923,science-fiction
923,fiction
923,classics
924,fantasy
924,fiction
924,young-adult
925,fiction
925,classics
925,literature
926,romance
926,fiction
926,chick-lit
927,fiction
927,thriller
927,mystery
928,young-adult
928,romance
928,contemporary
929,fantasy
929,young-adult
929,romance
930,fiction
930,westerns
930,historical-fiction
931,survival
931,adventure
931,fiction
932,young-adult
932,fantasy
932,paranormal
933,fiction
933,contemporary
933,novels
934,picture-books
934,childrens
934,classics
935,young-adult
935,fantasy
935,angels
936,novels
936,contemporary
936,epic
937,romance
937,fiction
937,chick-lit
938,classics
938,fiction
938,india
939,science-fiction
939,fiction
939,alternate-history
940,fiction
940,classics
940,literature
941,classics
941,fiction
941,christian
942,historical-fiction
942,fiction
942,india
943,urban-fantasy
943,fantasy
943,paranormal
944,young-adult
944,fantasy
944,romance
945,romance
945,fiction
945,chick-lit
946,romance
946,fiction
946,chick-lit
947,chick-lit
947,fiction
947,contemporary
948,young-adult
948,vampires
948,fantasy
949,vampires
949,paranormal
949,urban-fantasy
950,young-adult
950,vampires
950,fantasy
951,science-fiction
951,fiction
951,fantasy
952,fantasy
952,young-adult
952,romance
953,fiction
953,romance
953,novels
954,time-travel
954,science-fiction
954,dystopia
955,plays
955,classics
955,drama
956,classics
956,plays
956,drama
957,classics
957,plays
957,fiction
958,classics
958,mystery
958,fiction
959,fiction
959,mystery
959,crime
960,poetry
960,classics
960,fiction
961,classics
961,fiction
961,historical-fiction
962,contemporary
962,novels
962,book-club
963,science-fiction
963,fiction
963,fantasy
964,christian
964,fiction
964,religion
965,fantasy
965,fiction
965,urban-fantasy
966,horror
966,fiction
966,vampires
967,young-adult
967,romance
967,contemporary
968,paranormal
968,romance
968,paranormal-romance
969,fantasy
969,young-adult
969,fiction
970,memoir
970,non-fiction
970,biography
971,horror
971,fiction
971,classics
972,fantasy
972,urban-fantasy
972,mystery
973,science
973,non-fiction
973,philosophy
974,fiction
974,historical-fiction
974,china
975,fantasy
975,fiction
975,humor
976,young-adult
976,romance
976,contemporary
977,fiction
977,mystery
977,thriller
978,historical-fiction
978,fiction
978,war
979,young-adult
979,fiction
979,adventure
980,mystery
980,fiction
980,young-adult
981,fantasy
981,fiction
981,epic-fantasy
982,fiction
982,classics
982,chick-lit
983,romance
983,new-adult
983,young-adult
984,contemporary
984,drama
984,epic
985,fantasy
985,young-adult
985,romance
986,young-adult
986,science-fiction
986,dystopia
987,young-adult
987,fantasy
987,paranormal
988,historical-fiction
988,young-adult
988,fiction
989,historical-fiction
989,fiction
989,lgbt
990,drama
990,contemporary
990,book-club
991,classics
991,fiction
991,dystopia
992,young-adult
992,fantasy
992,vampires
993,fantasy
993,young-adult
993,science-fiction
994,horror
994,fiction
994,post-apocalyptic
995,fantasy
995,inspirational
996,science-fiction
996,fiction
996,thriller
997,classics
997,poetry
997,russia
998,young-adult
998,vampires
998,fantasy
999,historical-fiction
999,fiction
999,war
1000,fiction
1000,classics
1000,literature
1001,fiction
1001,horror
1001,classics
1002,horror
1002,fantasy
1002,vampires
1003,fantasy
1003,young-adult
1003,romance
1004,true-crime
1004,non-fiction
1004,crime
1005,fiction
1005,short-stories
1005,classics
1006,poetry
1006,classics
1006,romance
1007,young-adult
1007,romance
1007,contemporary
1008,fiction
1008,classics
1008,literature
1009,romance
1009,new-adult
1009,contemporary
1010,classics
1010,science-fiction
1010,fiction
1011,young-adult
1011,fiction
1011,contemporary
1012,romance
1012,young-adult
1012,contemporary
1013,fantasy
1013,young-adult
1013,mythology
1014,urban-fantasy
1014,fantasy
1014,paranormal
1015,picture-books
1015,childrens
1015,humor
1016,fiction
1016,classics
1016,fantasy
1017,young-adult
1017,fantasy
1017,science-fiction
1018,historical-fiction
1018,fiction
1018,historical
1019,young-adult
1019,fantasy
1019,science-fiction
1020,science-fiction
1020,fiction
1020,dystopia
1021,fantasy
1021,young-adult
1021,romance
1022,non-fiction
1022,science
1022,history
1023,fiction
1023,inspirational
1023,contemporary
1024,young-adult
1024,fantasy
1024,paranormal
1025,graphic-novels
1025,comics
1025,history
1026,young-adult
1026,vampires
1026,fantasy
1027,fiction
1027,classics
1027,german-literature
1028,fantasy
1028,fiction
1028,magical-realism
1029,classics
1029,horror
1029,fiction
1030,fantasy
1030,romance
1030,fiction
1031,christian-fiction
1031,fiction
1031,christian
1032,childrens
1032,picture-books
1032,fiction
1033,fiction
1033,classics
1033,philosophy
1034,science-fiction
1034,fiction
1034,humor
1035,fiction
1035,fantasy
1035,classics
1036,graphic-novels
1036,comics
1036,non-fiction
1037,fantasy
1037,urban-fantasy
1037,paranormal
1038,fantasy
1038,fiction
1038,epic-fantasy
1039,horror
1039,fiction
1039,short-stories
1040,fantasy
1040,fiction
1040,childrens
1041,fiction
1041,novels
1041,historical-fiction
1042,fiction
1042,historical-fiction
1042,classics
1043,fiction
1043,historical-fiction
1043,mystery
1044,fiction
1044,historical-fiction
1044,canada
1045,fantasy
1045,young-adult
1045,paranormal
1046,fantasy
1046,young-adult
1046,paranormal
1047,fiction
1047,contemporary
1047,literary-fiction
1048,historical-fiction
1048,fiction
1048,historical
1049,romance
1049,new-adult
1049,contemporary
1050,fiction
1050,classics
1050,literature
1051,fiction
1051,historical-fiction
1051,germany
1052,non-fiction
1052,psychology
1052,business
1053,drama
1053,fiction
1053,contemporary
1054,young-adult
1054,fantasy
1054,romance
1055,classics
1055,fiction
1055,france
1056,fantasy
1056,young-adult
1056,fiction
1057,classics
1057,non-fiction
1057,feminism
1058,fiction
1058,contemporary
1058,audiobook
1059,fiction
1059,classics
1059,magical-realism
1060,horror
1060,fiction
1060,thriller
1061,science-fiction
1061,fiction
1061,classics
1062,fiction
1062,historical-fiction
1062,contemporary
1063,humor
1063,fiction
1063,fantasy
1064,fiction
1064,classics
1064,historical-fiction
1065,fantasy
1065,fiction
1065,childrens
1066,classics
1066,fiction
1066,science-fiction
1067,young-adult
1067,fantasy
1067,romance
1068,young-adult
1068,paranormal
1068,romance
1069,fantasy
1069,mythology
1069,young-adult
1070,classics
1070,fiction
1070,literature
1071,classics
1071,fiction
1071,short-stories
1072,non-fiction
1072,memoir
1072,biography
1073,fantasy
1073,young-adult
1073,science-fiction
1074,fantasy
1074,young-adult
1074,mythology
1075,classics
1075,fiction
1075,historical-fiction
1076,drama
1076,contemporary
1076,book-club
1077,fantasy
1077,fiction
1077,epic-fantasy
1078,fantasy
1078,young-adult
1078,romance
1079,romance
1079,fiction
1079,chick-lit
1080,young-adult
1080,fantasy
1080,romance
1081,romance
1081,fiction
1081,chick-lit
1082,vampires
1082,paranormal
1082,urban-fantasy
1083,poetry
1083,contemporary
1083,fiction
1084,classics
1084,fiction
1084,japan
1085,mystery
1085,fiction
1085,historical-fiction
1086,horror
1086,fiction
1086,thriller
1087,fantasy
1087,fiction
1087,epic-fantasy
1088,horror
1088,fiction
1088,fantasy
1089,historical-fiction
1089,fiction
1089,mystery
1090,classics
1090,fiction
1090,young-adult
1091,comics
1091,graphic-novels
1091,batman
1092,fiction
1092,contemporary
1092,literary-fiction
1093,fiction
1093,magical-realism
1093,fantasy
1094,childrens
1094,fiction
1094,young-adult
1095,poetry
1095,classics
1095,horror
1096,romance
1096,new-adult
1096,contemporary
1097,fiction
1097,classics
1097,historical-fiction
1098,fantasy
1098,fiction
1098,humor
1099,young-adult
1099,paranormal
1099,fantasy
1100,contemporary
1100,drama
1100,book-club
1101,romance
1101,fiction
1101,chick-lit
1102,young-adult
1102,mystery
1102,contemporary
1103,fiction
1103,thriller
1103,mystery
1104,horror
1104,fiction
1104,thriller
1105,young-adult
1105,contemporary
1105,fiction
1106,science-fiction
1106,fiction
1106,classics
1107,classics
1107,fiction
1107,young-adult
1108,romance
1108,chick-lit
1108,contemporary
1109,fantasy
1109,young-adult
1109,fiction
1110,science-fiction
1110,dystopia
1110,fiction
1111,classics
1111,fiction
1111,france
1112,fiction
1112,historical-fiction
1112,mystery
1113,fiction
1113,contemporary
1113,romance
1114,fiction
1114,classics
1114,spanish-literature
1115,fiction
1115,mystery
1115,thriller
1116,historical-fiction
1116,fiction
1116,classics
1117,fiction
1117,poetry
1117,classics
1118,fiction
1118,contemporary
1118,novels
1119,fiction
1119,classics
1119,southern
1120,historical-fiction
1120,fiction
1120,historical
1121,fiction
1121,classics
1121,philosophy
1122,young-adult
1122,paranormal
1122,fantasy
1123,vampires
1123,young-adult
1123,fantasy
1124,young-adult
1124,vampires
1124,paranormal
1125,horror
1125,fiction
1125,thriller
1126,historical-fiction
1126,fiction
1126,historical
1127,young-adult
1127,dystopia
1127,romance
1128,fantasy
1128,fiction
1128,classics
1129,fantasy
1129,young-adult
1129,fiction
1130,fiction
1130,spirituality
1130,philosophy
1131,young-adult
1131,angels
1131,fantasy
1132,fiction
1132,thriller
1132,mystery
1133,romance
1133,erotica
1133,fiction
1134,historical-fiction
1134,fiction
1134,historical
1135,poetry
1135,classics
1135,france
1136,fiction
1136,novels
1136,literature
1137,romance
1137,new-adult
1137,young-adult
1138,romance
1138,contemporary
1138,lgbt
1139,young-adult
1139,romance
1139,fiction
1140,romance
1140,new-adult
1140,contemporary
1141,horror
1141,fiction
1141,thriller
1142,fiction
1142,science-fiction
1142,horror
1143,historical-fiction
1143,fiction
1143,war
1144,romance
1144,new-adult
1144,contemporary
1145,young-adult
1145,historical-fiction
1145,historical
1146,fiction
1146,novels
1146,contemporary
1147,fiction
1147,classics
1147,historical-fiction
1148,classics
1148,fiction
1148,romance
1149,science
1149,non-fiction
1149,biology
1150,dark
1150,romance
1150,contemporary
1151,urban-fantasy
1151,fantasy
1151,paranormal
1152,young-adult
1152,fantasy
1152,paranormal
1153,epic
1153,contemporary
1153,fiction
1154,contemporary
1154,novels
1154,fiction
1155,realistic-fiction
1155,young-adult
1155,middle-grade
1156,fiction
1156,africa
1156,historical-fiction
1157,fiction
1157,classics
1157,romance
1158,science-fiction
1158,young-adult
1158,romance
1159,fantasy
1159,fiction
1159,humor
1160,non-fiction
1160,spirituality
1160,self-help
1161,mystery
1161,romance
1161,crime
1162,classics
1162,poetry
1162,mythology
1163,classics
1163,fiction
1163,romance
1164,fiction
1164,historical-fiction
1164,religion
1165,fiction
1165,drama
1165,contemporary
1166,fantasy
1166,fiction
1166,novels
1167,fiction
1167,adult
1167,contemporary
1168,fiction
1168,magical-realism
1168,classics
1169,young-adult
1169,romance
1169,mystery
1170,picture-books
1170,childrens
1170,fiction
1171,young-adult
1171,fantasy
1171,science-fiction
1172,young-adult
1172,science-fiction
1172,dystopia
1173,classics
1173,historical-fiction
1173,fiction
1174,chick-lit
1174,romance
1174,fiction
1175,fantasy
1175,fiction
1175,epic-fantasy
1176,young-adult
1176,contemporary
1176,fiction
1177,classics
1177,fiction
1177,young-adult
1178,young-adult
1178,fantasy
1178,paranormal
1179,fantasy
1179,fiction
1179,horror
1180,classics
1180,fiction
1180,romance
1181,classics
1181,fiction
1181,short-stories
1182,young-adult
1182,fantasy
1182,romance
1183,fiction
1183,horror
1183,short-stories
1184,fiction
