id_knjige,nagrada

1,Locus Award Nominee for Best Young Adult Book 

1,Georgia Peach Book Award 

1,Buxtehuder Bulle 

1,Golden Duck Award for Young Adult 

1,Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger 

1,Books I Loved Best Yearly 

1,West Australian Young Readers' Book Award 

1,Red House Children's Book Award for Older Readers &amp; Overall 

1,South Carolina Book Award for Junior and Young Adult Book 

1,Charlotte Award 

1,Colorado Blue Spruce Young Adult Book Award 

1,Teen Buckeye Book Award 

1,Pennsylvania Young Readers' Choice Award for Young Adults 

1,Rhode Island Teen Book Award 

1,Dorothy Canfield Fisher Children's Book Award 

1,Evergreen Teen Book Award 

1,Soaring Eagle Book Award 

1,Milwaukee County Teen Book Award Nominee 

1,Sakura Medal for Middle School Book 

1,Michigan Library Association Thumbs Up! Award 

1,Florida Teens Read 

1,Deutscher Jugendliteraturpreis for Preis der Jugendjury 

1,Iowa High School Book Award 

1,New Mexico Land of Enchantment Award for Young Adult 

1,Eliot Rosewater Indiana High School Book Award 

1,The Inky Awards for Silver Inky 

1,California Young Readers Medal for Young Adult 

1,Lincoln Award 

1,Kinderboekwinkelprijs 

1,Missouri Truman Readers Award 

1,CYBILS Award for Young Adult Fantasy &amp; Science Fiction 

1,Literaturpreis der Jury der jungen Leser for Jugendbuch 

1,The Inky Awards Shortlist for Silver Inky 

1,Prix Et-lisez-moi 

1,Missouri Gateway Readers Award 

1,Oklahoma Sequoyah Award for High School and Intermediate 

1,Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga 

1,Rebecca Caudill Young Readers' Book Award 

1,LovelyBooks Leserpreis for Fantasy 

1,LovelyBooks Leserpreis for Bestes Cover/Umschlag 

1,Premi Protagonista Jove for Categoria 13-14 anys 

2,Bram Stoker Award for Works for Young Readers 

2,Anthony Award for Young Adult 

2,Mythopoeic Fantasy Award for Children's Literature 

2,Audie Award for Audiobook of the Year 

2,Books I Loved Best Yearly 

2,Colorado Blue Spruce Young Adult Book Award 

2,Golden Archer Award for Middle/Junior High 

2,Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury 

2,Carnegie Medal Nominee 

3,Pulitzer Prize for Fiction 

3,Audie Award for Classic 

3,National Book Award Finalist for Fiction 

3,Alabama Author Award for Fiction 

5,Georgia Peach Book Award 

5,Buxtehuder Bulle 

5,Kentucky Bluegrass Award for 9-12 

5,Prijs van de Kinder- en Jeugdjury Vlaanderen 

5,Books I Loved Best Yearly 

5,West Australian Young Readers' Book Award 

5,Garden State Book Award for Fiction 

5,South Carolina Book Award for Young Adult Book Award 

5,Grand Canyon Reader Award for Teen Book 

5,Maryland Black-Eyed Susan Book Award for High School 

