id_knjige,zanr
1,young-adult
1,fiction
1,dystopia
2,fantasy
2,young-adult
2,fiction
3,classics
3,fiction
3,historical-fiction
4,classics
4,fiction
4,romance
5,young-adult
5,fantasy
5,romance
6,historical-fiction
6,fiction
6,young-adult
7,classics
7,fiction
7,dystopia
8,fantasy
8,classics
8,fiction
9,fantasy
9,fiction
9,classics
10,young-adult
10,romance
10,fiction
11,classics
11,historical-fiction
11,fiction
12,science-fiction
12,fiction
12,humor
13,childrens
13,picture-books
13,classics
14,fiction
14,gothic
14,literature
15,fiction
15,mystery
15,thriller
16,classics
16,fiction
16,horror
17,fiction
17,historical-fiction
17,romance
18,classics
18,fantasy
18,fiction
19,classics
19,fiction
19,romance
20,classics
20,fiction
20,historical-fiction
21,classics
21,fiction
21,science-fiction
22,young-adult
22,dystopia
22,fiction
23,classics
23,fiction
23,young-adult
24,classics
24,plays
24,fiction
25,fiction
25,classics
25,fantasy
26,young-adult
26,fiction
26,contemporary
27,classics
27,fiction
27,russia
28,classics
28,fiction
28,school
29,fantasy
29,young-adult
29,paranormal
30,science-fiction
30,fiction
30,young-adult
31,fiction
31,historical-fiction
31,historical
32,classics
32,fiction
32,young-adult
33,fantasy
33,fiction
33,young-adult
34,classics
34,fiction
34,fantasy
35,classics
35,childrens
35,fiction
36,classics
36,fiction
36,school
37,fiction
37,romance
37,fantasy
38,classics
38,horror
38,fiction
39,classics
39,fiction
39,science-fiction
40,fiction
40,classics
40,magical-realism
41,classics
41,fiction
41,young-adult
42,fantasy
42,fiction
42,classics
43,fantasy
43,young-adult
43,mythology
44,classics
44,fiction
44,childrens
45,fiction
45,historical-fiction
45,contemporary
46,fantasy
46,fiction
46,classics
47,fantasy
47,fiction
47,epic-fantasy
48,classics
48,fiction
48,historical-fiction
49,fiction
49,mystery
49,young-adult
50,classics
50,young-adult
50,fiction
51,childrens
51,picture-books
51,fiction
52,childrens
52,picture-books
52,classics
53,classics
53,fiction
53,poetry
54,fiction
54,fantasy
54,classics
55,classics
55,fiction
55,historical-fiction
56,fiction
56,historical-fiction
56,romance
57,classics
57,fiction
57,literature
58,classics
58,war
58,novels
59,classics
59,fiction
59,horror
60,fiction
60,historical-fiction
60,contemporary
61,fiction
61,classics
61,dystopia
62,young-adult
62,fiction
62,classics
63,classics
63,fiction
63,war
64,science-fiction
64,fiction
64,fantasy
65,historical-fiction
65,fiction
65,historical
66,horror
66,fiction
66,fantasy
67,classics
67,mystery
67,fiction
68,classics
68,fiction
68,fantasy
69,classics
69,fiction
69,literature
70,classics
70,fiction
70,historical-fiction
71,fantasy
71,young-adult
71,fiction
72,classics
72,fiction
72,feminism
73,classics
73,fiction
73,literature
74,classics
74,fiction
74,romance
75,historical-fiction
75,romance
75,fantasy
76,childrens
76,fiction
76,classics
77,fiction
77,contemporary
77,chick-lit
78,fantasy
78,classics
78,fiction
79,fiction
79,mystery
79,thriller
80,classics
80,fiction
80,mystery
81,classics
81,fiction
81,science-fiction
82,classics
82,fiction
82,historical-fiction
83,classics
83,fiction
83,historical-fiction
84,classics
84,fiction
84,science-fiction
85,fiction
85,science-fiction
85,dystopia
86,classics
86,fiction
86,russia
87,non-fiction
87,memoir
87,biography
88,young-adult
88,fantasy
88,vampires
89,classics
89,fiction
89,philosophy
90,fiction
90,historical-fiction
90,africa
91,fantasy
91,young-adult
91,fiction
92,classics
92,fiction
92,literature
93,fantasy
93,young-adult
93,fiction
94,classics
94,philosophy
94,literature
95,classics
95,fiction
95,literature
96,romance
96,fiction
96,chick-lit
97,classics
97,childrens
97,fiction
98,classics
98,poetry
98,horror
99,horror
99,fantasy
99,fiction
100,fiction
100,classics
100,contemporary
